Price,Address,Rent Estimate Per Month,Beds,Baths,SqFt,Home Type,Street,City,State Label,Zip Code
631803,"C St Ne, Washington, DC 20002",2400,3,1,1224,SF,C St Ne,Washington,DC,20002
639602,"Allison St Ne, Washington, DC 20017",2650,3,3,1440,SF,Allison St Ne,Washington,DC,20017
1012795,"G St Ne, Washington, DC 20002",2740,3,2,1802,SF,G St Ne,Washington,DC,20002
1375500,"9th St Nw, Washington, DC 20012",3140,3,2,1518,SF,9th St Nw,Washington,DC,20012
113220,"I St, Rock Springs, WY 82901",1100,2,2,1525,SF,I St,Rock Springs,WY,82901
1210377,"29th St Nw, Washington, DC 20015",4140,4,3.5,1508,SF,29th St Nw,Washington,DC,20015
426241,"Hayes St Ne, Washington, DC 20019",1301,2,1,990,SF,Hayes St Ne,Washington,DC,20019
1146588,"Longfellow St Nw, Washington, DC 20011",3480,4,3,2340,SF,Longfellow St Nw,Washington,DC,20011
402325,"54th St Ne, Washington, DC 20019",1790,3,1,1476,SF,54th St Ne,Washington,DC,20019
256144,"Sheriff Rd Ne, Washington, DC 20019",1251,2,1,1064,Townhome,Sheriff Rd Ne,Washington,DC,20019
695147,"Otis Pl Nw, Washington, DC 20010",2680,3,1,1360,Townhome,Otis Pl Nw,Washington,DC,20010
545537,"New York Ave Nw Apt 202, Washington, DC 20001",2240,2,1,990,CONDO,New York Ave Nw Apt 202,Washington,DC,20001
683263,"8th St Nw, Washington, DC 20011",2440,3,3,1054,SF,8th St Nw,Washington,DC,20011
456385,"Southern Ave Se, Washington, DC 20019",1880,3,1.5,1802,SF,Southern Ave Se,Washington,DC,20019
627000,"Harvard St Nw, Washington, DC 20001",2760,4,2,1634,MF,Harvard St Nw,Washington,DC,20001
667728,"N Capitol St Ne, Washington, DC 20002",1930,3,1,1860,SF,N Capitol St Ne,Washington,DC,20002
163038,"Tyler St, Rock Springs, WY 82901",1102,3,2,1260,CONDO,Tyler St,Rock Springs,WY,82901
360910,"Taylor Ave, Sheridan, WY 82801",1370,3,2,2768,SF,Taylor Ave,Sheridan,WY,82801
1002253,"13th St Nw, Washington, DC 20012",3660,4,4,2404,SF,13th St Nw,Washington,DC,20012
494600,"Martin Luther King Jr ..., Washington, DC 20032",1460,2,1,800,SF,Martin Luther King Jr ...,Washington,DC,20032
671000,"14th St Nw, Washington, DC 20011",2700,3,2,1354,MF,14th St Nw,Washington,DC,20011
594827,"12th St Nw, Washington, DC 20011",2380,4,2,1620,SF,12th St Nw,Washington,DC,20011
427067,"Foote St Ne, Washington, DC 20019",1680,3,1,970,SF,Foote St Ne,Washington,DC,20019
440000,"Meigs Pl Ne, Washington, DC 20002",2040,8,4,3210,MF,Meigs Pl Ne,Washington,DC,20002
197548,"Sagewood Ave, Casper, WY 82601",860,2,2,1064,SF,Sagewood Ave,Casper,WY,82601
485912,"18th St Ne, Washington, DC 20002",1620,4,2,1152,SF,18th St Ne,Washington,DC,20002
442208,"Blaine St Ne, Washington, DC 20019",1420,3,1,960,CONDO,Blaine St Ne,Washington,DC,20019
681000,"Maryland Ave Ne, Washington, DC 20002",2310,3,2,1400,MF,Maryland Ave Ne,Washington,DC,20002
771081,"Columbia Rd Nw, Washington, DC 20001",2700,3,1,1122,Townhome,Columbia Rd Nw,Washington,DC,20001
267000,"Mount View Pl Se, Washington, DC 20020",1570,4,2,1488,MF,Mount View Pl Se,Washington,DC,20020
139923,"Warren Ave, Gillette, WY 82716",991,3,2,796,SF,Warren Ave,Gillette,WY,82716
137858,"Johnson Ave, Rock Springs, WY 82901",1080,2,1,1276,Townhome,Johnson Ave,Rock Springs,WY,82901
417480,"Barnaby St Se, Washington, DC 20032",1400,3,4,1494,Townhome,Barnaby St Se,Washington,DC,20032
